name,url,category
"Aldrin Elementary School","https://public.govdelivery.com/topics/Aldrin_ES_News/feed.rss","elementary"
"Annandale High School","https://public.govdelivery.com/topics/Annandale_HS_News/feed.rss","high"
"Annandale Terrace Elementary School","https://public.govdelivery.com/topics/Annandale_Terrace_ES_News/feed.rss","elementary"
"Armstrong Elementary School","https://public.govdelivery.com/topics/Armstrong_ES_News/feed.rss","elementary"
"Bailey's Lower","https://public.govdelivery.com/topics/Baileys_ES_News/feed.rss","elementary"
"Bailey's Upper","https://public.govdelivery.com/topics/Baileys_Upper_News/feed.rss","elementary"
"Beech Tree Elementary School","https://public.govdelivery.com/topics/Beech_Tree_ES_News/feed.rss","elementary"
"Belle View Elementary School","https://public.govdelivery.com/topics/Belle_View_ES_News/feed.rss","elementary"
"Belvedere Elementary School","https://public.govdelivery.com/topics/Belvedere_ES_News/feed.rss","elementary"
"Bonnie Brae Elementary School","https://public.govdelivery.com/topics/Bonnie_Brae_ES_News/feed.rss","elementary"
"Braddock Elementary School","https://public.govdelivery.com/topics/Braddock_ES_News/feed.rss","elementary"
"Bren Mar Park Elementary School","https://public.govdelivery.com/topics/Bren_Mar_Park_ES_News/feed.rss","elementary"
"Brookfield Elementary School","https://public.govdelivery.com/topics/Brookfield_ES_News/feed.rss","elementary"
"Bryant High School","https://public.govdelivery.com/topics/Brookfield_ES_News/feed.rss","high"
"Bucknell Elementary School","https://public.govdelivery.com/topics/Bucknell_ES_News/feed.rss","elementary"
"Bull Run Elementary School","https://public.govdelivery.com/topics/Bull_Run_ES_News/feed.rss","elementary"
"Burke School","https://public.govdelivery.com/topics/Burke_School_News/feed.rss","special"
"Bush Hill Elementary School","https://public.govdelivery.com/topics/Bush_Hill_ES_News/feed.rss","elementary"
"Camelot Elementary School","https://public.govdelivery.com/topics/Bush_Hill_ES_News/feed.rss","elementary"
"Cameron Elementary School","https://public.govdelivery.com/topics/Cameron_ES_News/feed.rss","elementary"
"Canterbury Woods Elementary School","https://public.govdelivery.com/topics/Canterbury_Woods_ES_News/feed.rss","elementary"
"Cardinal Forest Elementary School","https://public.govdelivery.com/topics/Cardinal_Forest_ES_News/feed.rss","elementary"
"Carson Middle School","https://public.govdelivery.com/topics/Carson_MS_News/feed.rss","middle"
"Cedar Lane School","https://public.govdelivery.com/topics/Cedar_Lane_School_NEWS/feed.rss","special"
"Centre Ridge Elementary School","https://public.govdelivery.com/topics/Centre_Ridge_ES_News/feed.rss","elementary"
"Centreville Elementary School","https://public.govdelivery.com/topics/Centreville_ES_News/feed.rss","elementary"
"Centreville High School","https://public.govdelivery.com/topics/Centreville_HS_News/feed.rss","high"
"Chantilly Academy","https://public.govdelivery.com/topics/Chantilly_Academy_News/feed.rss","academy"
"Chantilly High School","https://public.govdelivery.com/topics/Chantilly_HS_News/feed.rss","high"
"Cherry Run Elementary School","https://public.govdelivery.com/topics/Cherry_Run_ES_News/feed.rss","elementary"
"Chesterbrook Elementary School","https://public.govdelivery.com/topics/Chesterbrook_ES_News/feed.rss","elementary"
"Churchill Road Elementary School","https://public.govdelivery.com/topics/Churchill_Road_ES_News/feed.rss","elementary"
"Clearview Elementary School","https://public.govdelivery.com/topics/Clearview_ES_News/feed.rss","elementary"
"Clermont Elementary School","https://public.govdelivery.com/topics/Clermont_ES_News/feed.rss","elementary"
"Coates Elementary School","https://public.govdelivery.com/topics/Coates_ES_News/feed.rss","elementary"
"Columbia Elementary School","https://public.govdelivery.com/topics/Columbia_ES_News/feed.rss","elementary"
"Colvin Run Elementary School","https://public.govdelivery.com/topics/Colvin_Run_ES_News/feed.rss","elementary"
"Cooper Middle School","https://public.govdelivery.com/topics/Cooper_MS_Topic_1/feed.rss","middle"
"Crestwood Elementary School","https://public.govdelivery.com/topics/Crestwood_ES_News/feed.rss","elementary"
"Crossfield Elementary School","https://public.govdelivery.com/topics/Crossfield_ES_News/feed.rss","elementary"
"Cub Run Elementary School","https://public.govdelivery.com/topics/Cub_Run_ES_News/feed.rss","elementary"
"Cunningham Park Elementary School","https://public.govdelivery.com/topics/Cunningham_Park_ES_News/feed.rss","elementary"
"Daniels Run Elementary School","https://public.govdelivery.com/topics/Daniels_Run_ES_News/feed.rss","elementary"
"Davis Career Center","https://public.govdelivery.com/topics/Davis_Career_Center_News/feed.rss","career"
"Deer Park Elementary School","https://public.govdelivery.com/topics/Deer_Park_ES_News/feed.rss","elementary"
"Dogwood Elementary School","https://public.govdelivery.com/topics/Dogwood_ES_News/feed.rss","elementary"
"Dranesville Elementary School","https://public.govdelivery.com/topics/Dranesville_ES_News/feed.rss","elementary"
"Eagle View Elementary School","https://public.govdelivery.com/topics/Eagle_View_ES_News/feed.rss","elementary"
"Edison Academy","https://public.govdelivery.com/topics/Edison_Academy_News/feed.rss","academy"
"Edison High School","https://public.govdelivery.com/topics/Edison_HS_News/feed.rss","high"
"Fairfax Academy","https://public.govdelivery.com/topics/Fairfax_Academy_News/feed.rss","academy"
"Fairfax High School","https://public.govdelivery.com/topics/Fairfax_HS_News/feed.rss","high"
"Fairfax Villa Elementary School","https://public.govdelivery.com/topics/Fairfax_Villa_ES_News/feed.rss","elementary"
"Fairhill Elementary School","https://public.govdelivery.com/topics/Fairhill_ES_News/feed.rss","elementary"
"Fairview Elementary School","https://public.govdelivery.com/topics/Fairview_ES_NEWS/feed.rss","elementary"
"Falls Church Academy","https://public.govdelivery.com/topics/Falls_Church_Academy_News/feed.rss","academy"
"Falls Church High School","https://public.govdelivery.com/topics/Falls_Church_HS_News/feed.rss","high"
"FCPS School Board Springfield District","https://public.govdelivery.com/topics/SB_Springfield_District/feed.rss","district"
"FCPS Wellness Newsletter","https://public.govdelivery.com/topics/DSS_Wellness/feed.rss","district"
"FCPS Employee News","https://public.govdelivery.com/topics/FCPS_Employees_ALL/feed.rss","district"
"School Board Mason District","https://public.govdelivery.com/topics/SB_Mason_District/feed.rss","district"
"FCPS Family Resource Newsletters","https://public.govdelivery.com/topics/PRC/feed.rss","district"
"FCPS Military Families","https://public.govdelivery.com/topics/FSP_Military_Families/feed.rss","district"
"FCPS Safe Routes to School","https://public.govdelivery.com/topics/IS_Safe_Routes_to_School/feed.rss","district"
"FCPS Special Education Update","https://public.govdelivery.com/topics/DSS_Special_Education_News/feed.rss","district"
"FCPS School Board Member at Large (Ryan McElveen)","https://public.govdelivery.com/topics/SB_At_Large_Ryan_McElveen/feed.rss","district"
"FCPS School Board Mount Vernon District","https://public.govdelivery.com/topics/SB_Mount_Vernon_District/feed.rss","district"
"FCPS School Board Member at Large (Kyle McDaniel)","https://public.govdelivery.com/topics/SB_At_Large_Kyle_McDaniel/feed.rss","district"
"FCPS School Board Member at Large (Ilryong Moon)","https://public.govdelivery.com/topics/SB_At_Large_Ilryong_Moon/feed.rss","district"
"FCPS School Board Sully District","https://public.govdelivery.com/topics/SB_Sully_District/feed.rss","district"
"FCPS School Board Franconia District","https://public.govdelivery.com/topics/SB_Franconia_District/feed.rss","district"
"FCPS School Board Dranesville District","https://public.govdelivery.com/topics/SB_Dranesville_District/feed.rss","district"
"FCPS School Board Braddock District","https://public.govdelivery.com/topics/SB_Braddock_District/feed.rss","district"
"FCPS School Board Providence District","https://public.govdelivery.com/topics/SB_Providence_District/feed.rss","district"
"FCPS Tuesday Tips","https://public.govdelivery.com/topics/FSP/feed.rss","district"
"FCPS School Board Hunter District","https://public.govdelivery.com/topics/SB_Hunter_Mill_District/feed.rss","district"
